"analysis_id","gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"MYH11_OE","CNTFR",1.97230380136219e-17,-1.662565127617,5.01215288516636e-18,0.999999998213709,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","SOHLH2",1.96522996608392e-17,-1.66284226253132,4.97626433449718e-18,0.999999998220116,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","CD300E",1.96387115260498e-17,-1.66289560312703,4.96938526434493e-18,0.999999998221346,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","FDCSP",1.9632459901094e-17,-1.66292015553099,4.96622194193157e-18,0.999999998221913,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","Z99289.1",1.94435651330948e-17,-1.66366544891539,4.87111614382912e-18,0.99999999823902,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","MYBPC1",1.94076378297757e-17,-1.66380796022715,4.85313133700756e-18,0.999999998242274,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","TMEM38A",1.91694201390159e-17,-1.66475911480183,4.73472367655654e-18,0.99999999826385,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","LINC02099",1.91483956981251e-17,-1.66484358589319,4.72434356819427e-18,0.999999998265754,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","NCR3",1.90697095788436e-17,-1.66516049159764,4.68559604333912e-18,0.99999999827288,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","PADI2",1.90326561278077e-17,-1.66531014266127,4.66740501333231e-18,0.999999998276236,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","AC108105.1",1.90250868641779e-17,-1.66534074649786,4.66369330923152e-18,0.999999998276922,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","CYP2W1",1.90005454762948e-17,-1.66544004914848,4.65166921833459e-18,0.999999998279144,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","LINC01268",1.88384359585573e-17,-1.66609899732585,4.57263327569028e-18,0.999999998293826,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","NRN1",1.87885160007037e-17,-1.6663029711525,4.54843134933083e-18,0.999999998298348,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","TRGV10",1.8749738228629e-17,-1.66646176440411,4.52967563492309e-18,0.99999999830186,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","IL22",1.85414270230126e-17,-1.66732002934941,4.42958457856479e-18,0.999999998320726,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","DIPK2B",1.84853336584984e-17,-1.6675526658356,4.40282348260392e-18,0.999999998325806,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","ELAVL3",1.83510935640998e-17,-1.66811206579468,4.3391092529887e-18,0.999999998337964,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","AL354743.1",1.82049314328794e-17,-1.66872547193034,4.27026455187865e-18,0.999999998351202,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","SOSTDC1",1.81958252750445e-17,-1.66876383894347,4.26599362366554e-18,0.999999998352027,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","HBA2",1.81039041873421e-17,-1.66915212912237,4.22300087327837e-18,0.999999998360352,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","SCYGR4",1.80368021676804e-17,-1.66943673375925,4.19175383103328e-18,0.999999998366429,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
