"to_vertex","from_vertex","NA","from_UMAP_1","from_UMAP_2","to_UMAP_1","to_UMAP_2"
"Y_694","Y_680",1,-7.99261385518397,-0.896379950942927,-7.76561127185677,-1.08967742620447
"Y_694","Y_48",1,-7.75767911530465,-1.36800379817071,-7.76561127185677,-1.08967742620447
"Y_694","Y_64",1,-7.48690925032437,-1.10269915308874,-7.76561127185677,-1.08967742620447
"Y_817","Y_679",1,-7.24451960855271,4.08458705618851,-7.14913159424855,3.88570441683608
"Y_817","Y_70",1,-7.20506485298441,3.65836168033535,-7.14913159424855,3.88570441683608
"Y_722","Y_678",1,3.76843764687505,-5.78648524422571,3.95952087365722,-5.93195630374468
"Y_722","Y_344",1,4.16858893875156,-5.844010847288,3.95952087365722,-5.93195630374468
"Y_731","Y_673",1,3.51105519185473,-6.31333415056787,3.5430779954815,-6.53477145515709
"Y_731","Y_669",1,3.68743406480768,-6.73276935995973,3.5430779954815,-6.53477145515709
"Y_706","Y_669",1,3.68743406480768,-6.73276935995973,3.70516552922224,-6.9895034749516
"Y_706","Y_615",1,3.7505636018366,-7.28058859642502,3.70516552922224,-6.9895034749516
"Y_666","Y_664",1,6.82391721228965,-7.49650343466313,6.99241841618416,-7.60855751728734
"Y_666","Y_171",1,7.17558397670537,-7.65516434489787,6.99241841618416,-7.60855751728734
"Y_666","Y_23",1,7.05604108833649,-7.44384388693698,6.99241841618416,-7.60855751728734
"Y_701","Y_619",1,3.9536417112936,-4.8604934041448,3.73868960214839,-4.81784612607823
"Y_701","Y_661",1,3.75973346099226,-4.61618539943359,3.73868960214839,-4.81784612607823
"Y_758","Y_658",1,-6.97348602516972,3.01667743934191,-6.73441198910174,2.94965011621275
"Y_656","Y_655",1,-4.9602428560498,10.5911329929132,-4.76434726926024,10.513353188057
"Y_656","Y_184",1,-4.54016857614373,10.4819434287821,-4.76434726926024,10.513353188057
"Y_693","Y_529",1,4.02604620373398,7.45674364569725,3.9160344849757,7.26543780384974
"Y_693","Y_651",1,3.70968941231112,7.36366586319142,3.9160344849757,7.26543780384974
"Y_655","Y_642",1,-4.93989118876058,10.7636194132136,-4.9602428560498,10.5911329929132
